project,mainline_commit,backport_commit,git_apply_success,patch_type,error
elasticsearch,393ea618d7c01c7c5ef2bb23f4a41185833be5d3,b78cfd8ef7ccc8d79bbdb456b22f867b3e116d4b,True,TYPE-I,
elasticsearch,3310ca9314ff40cabd523150cb000ebc643ee883,3f87b3cd9842f3ffab51b5c886e8dcefbc656248,True,TYPE-I,
elasticsearch,45383c871c8b83b332c1df873d2f7c7da546655c,7f18135a9870314ccfdf885c7d280c45e275f642,True,TYPE-I,
elasticsearch,355aed7fc80c1e9a2ce58ffd45615ed110312f0f,a04d2466697536ff423c8aa7c9b81d26dda6aa07,False,TYPE-I,error: patch failed: x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/optimizer/LocalPhysicalPlanOptimizerTests.java:1450
elasticsearch,ce2c5d97db593683f8ddceccd180332e63deffed,320fc753903506f7cf8c31bf898c17b711b06e53,True,TYPE-I,
elasticsearch,4eefc6d73bb22e94571e42fe948da7ace4e19837,d4fa752273e4f642628b94674aba5bf0158b0c66,True,TYPE-I,
elasticsearch,7c46556e2137a92e7d92ddf40af0ae5388c1e888,b5f8da18337a5f3e795d9f6594c22aa6309da0f2,True,TYPE-I,
elasticsearch,eed650ec63b27609c3512be487f9d2f50a988739,0e0b4fbec2ebfd153fa18c9e665e4e51713a41b7,True,TYPE-I,
elasticsearch,c16bcb64a16521011677f95286202b86d9f4711b,027f96a427b87c597d1508e290f084b93b67b745,True,TYPE-I,
elasticsearch,79a822625adbb480d30709cdd210067fcbc1174d,1a697b551d26d2449dc749763db422b97803ee28,False,TYPE-V,error: patch failed: x-pack/plugin/inference/src/main/java/org/elasticsearch/xpack/inference/external/request/openai/OpenAiUnifiedChatCompletionRequestEntity.java:78
elasticsearch,517abe4ffdceb3c7ca771207fe20b0c813181810,e777dbaa7c08c6b18ae97aade9fcaf42ec0d675c,True,TYPE-I,
elasticsearch,9676faf51b43200f573bde0eeb8c2c02de5d0095,7b2d90b11e479bae7d7ad4a696daeaae8012ca5b,True,TYPE-I,
elasticsearch,77eb19172418d3b336180ae594266fb25c724b49,fb45fd724afa1bb9e102bd64478cf7249382c49d,False,TYPE-II,error: patch failed: server/src/main/java/org/elasticsearch/cluster/node/DiscoveryNode.java:595
elasticsearch,4007ff3b44269d2f48e5aa938cf621fbd0123df9,4fb5514d87de3487d8e83abd9a238dbb29d47b98,True,TYPE-II,
elasticsearch,ee163eb6be25b7d0abf4bbfb54d006d0ddcf1e9f,da55d6c2709ecb448d1bf9b53f53bdbd2f2a40fc,True,TYPE-I,
elasticsearch,5645240976cd88ff9f1a30240c0923e9788f3f4c,075a40aecbd42a4915cc17ccd9871e4f62f5920b,True,TYPE-I,
elasticsearch,5e381a3a89fb734ade6a1a299881ef1be4df7019,b80f6770f58b12d4d9f713664cf2c2ed76706af6,True,TYPE-II,
elasticsearch,ac25dbe70692df19bd424e7ef1e4bc2c16c41329,b74418188547df160fe58346a0d33ca56c10ae29,True,TYPE-I,
elasticsearch,a5118c2d9fa5e2442c408089387e75337b2a5d4a,e7ac7c3c960e38fb06aabdc09efc3e635424732b,True,TYPE-I,
elasticsearch,12062cb76629dcc506168a519e50eda7eed09a9e,bb2486bfcd230681ed764333607df12001b58346,True,TYPE-I,
